PID,Price,Area,City,Location,No. of Bedrooms,Resale,MaintenanceStaff,Gymnasium,SwimmingPool,JoggingTrack,RainWaterHarvesting,IndoorGames,ShoppingMall,Intercom,SportsFacility,ATM,ClubHouse,School,24X7Security,PowerBackup,CarParking,StaffQuarter,Cafeteria,MultipurposeRoom,Hospital,WashingMachine,Gasconnection,AC,Wifi,Children'splayarea,LiftAvailable,Furnished
855,6831999,1309,Banglore,Anjanapura,2,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,0
329,11000000,1335,Banglore,JP Nagar Phase 7,2,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0
6008,7500000,1812,Kolkata,Tangra,3,1,,,,9,9,9,,9,9,9,9,,,,,,,9,,9,9,,,,,
6747,5300000,275,Mumbai,Thane,1,1,,,0,0,0,0,1,0,1,1,1,0,0,0,0,,,0,0,0,1,1,,,,0
6647,3700000,650,Mumbai,ULWE SECTOR 19,1,1,,,1,0,0,0,0,0,1,1,1,0,0,0,0,,,0,0,1,1,0,,,,0
5396,5455000,1322,Kolkata,Salt Lake City,3,0,,,,9,9,9,,9,9,9,9,,,,,,,9,,9,9,,,,,
7597,4500000,1005,Mumbai,Taloja,2,1,,,,9,9,9,,9,9,9,9,,,,,,,9,,9,9,,,,,
2352,3800000,720,Delhi,Mundka,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1399,3427000,747,Chennai,Tiruvottiyur,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1230,10400000,1740,Chennai,Iyappanthangal,3,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
6710,2035000,574,Mumbai,Asangaon,1,1,,,1,1,1,0,1,0,1,1,1,0,0,1,0,,,0,0,1,1,0,,,,0
6991,7000000,1080,Mumbai,Sector 20 Kharghar,2,1,,,0,0,0,0,0,0,1,0,1,0,1,0,0,,,0,0,0,1,1,,,,0
4092,3500000,1080,Hyderabad,Beeramguda,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6735,5300000,275,Mumbai,Thane,1,1,,,0,0,0,0,1,0,1,1,1,0,0,0,0,,,0,0,0,1,1,,,,0
6186,15000000,1300,Mumbai,Kharghar,3,1,,,0,1,0,0,1,0,1,1,1,0,0,0,0,,,0,0,1,1,1,,,,0
4245,8707000,1290,Hyderabad,Kondapur,2,0,0,1,1,0,1,0,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0
1717,6400000,1183,Chennai,Ayapakkam,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1201,3306000,538,Chennai,Karapakkam,1,0,0,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,1,0,1
4865,6842000,1405,Kolkata,Tangra,3,0,,,,9,9,9,,9,9,9,9,,,,,,,9,,9,9,,9,9,9,
7613,63000000,1950,Mumbai,Chembur,3,1,,,,9,9,9,,9,9,9,9,,,,,,,9,,9,9,,,,,
3393,8200000,1200,Hyderabad,Malkajgiri,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4796,2354000,850,Kolkata,Dum Dum,2,0,,,,9,9,9,,9,9,9,9,,,,,,,9,,9,9,,9,9,9,
5817,2405000,1257,Kolkata,Bansdroni,2,0,,,,9,9,9,,9,9,9,9,,,,,,,9,,9,9,,,,,
1580,5070000,845,Chennai,tambaram west,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3037,4600000,850,Delhi,Uttam Nagar,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
3040,14500000,1700,Delhi,Sector 4 Dwarka,3,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0
2744,2800000,505,Delhi,Mansa Ram Park,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3405,9822000,1889,Hyderabad,Narsingi,3,0,0,1,1,0,1,0,0,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,0
