PID,Price,Area,City,No. of Bedrooms,Resale,SwimmingPool,ShoppingMall,24X7Security,PowerBackup,Hospital,AC,Furnished
855,3,1309,1,2,0,1,1,1,1,1,0,0
329,3,1335,1,2,0,0,0,0,1,0,0,0
6008,3,1812,5,3,1,5,5,5,5,5,5,5
6747,2,275,6,1,1,0,1,0,0,0,1,0
6647,1,650,6,1,1,1,0,0,0,0,0,0
5396,2,1322,5,3,0,5,5,5,5,5,5,5
7597,2,1005,6,2,1,5,5,5,5,5,5,5
2352,1,720,3,2,1,0,0,0,0,0,0,0
1399,1,747,2,2,0,0,0,0,0,0,0,0
1230,3,1740,2,3,0,1,0,0,1,0,0,1
6710,1,574,6,1,1,1,1,0,1,0,0,0
6991,3,1080,6,2,1,0,0,1,0,0,1,0
4092,1,1080,4,2,0,0,0,0,0,0,0,0
6735,2,275,6,1,1,0,1,0,0,0,1,0
6186,4,1300,6,3,1,0,1,0,0,0,1,0
4245,3,1290,4,2,0,1,0,1,1,0,0,0
1717,2,1183,2,3,0,0,0,0,0,0,0,0
1201,1,538,2,1,0,1,0,1,1,0,0,1
4865,3,1405,5,3,0,5,5,5,5,5,5,5
7613,4,1950,6,3,1,5,5,5,5,5,5,5
3393,3,1200,4,2,0,0,0,0,0,0,0,0
4796,1,850,5,2,0,5,5,5,5,5,5,5
5817,1,1257,5,2,0,5,5,5,5,5,5,5
1580,2,845,2,2,0,0,0,0,0,0,0,0
3037,2,850,3,3,1,0,0,0,0,0,0,0
3040,4,1700,3,3,1,0,0,0,1,0,0,0
2744,1,505,3,2,1,0,0,0,0,0,0,0
3405,3,1889,4,3,0,1,0,1,1,0,0,0
6830,4,1050,6,2,1,0,0,0,0,0,0,0
7537,4,922,6,2,1,5,5,5,5,5,5,5
7469,3,965,6,2,0,0,1,0,0,0,0,0
6651,4,1435,6,3,0,0,0,0,0,1,0,0
7079,2,635,6,1,1,0,0,0,0,0,0,0
4487,2,937,5,2,0,5,5,5,5,5,5,5
444,2,1082,1,2,0,1,0,1,1,0,0,1
6574,1,675,6,1,0,0,0,0,0,0,0,0
5064,1,750,5,2,1,5,5,5,5,5,5,5
5898,1,900,5,3,0,5,5,5,5,5,5,5
51,3,1575,1,3,0,1,1,1,0,1,0,1
6700,4,1701,6,3,0,0,1,1,1,0,0,0
6504,4,900,6,2,0,0,0,0,0,0,0,0
6222,2,740,6,1,1,1,1,0,0,0,0,0
5560,4,950,5,2,0,5,5,5,5,5,5,5
1289,3,1606,2,3,0,1,0,1,1,0,0,0
583,1,1465,1,3,0,1,0,0,1,0,0,1
1651,2,956,2,2,0,1,0,0,0,0,0,0
6280,3,1000,6,2,1,0,1,0,0,0,0,1
5119,2,750,5,2,1,5,5,5,5,5,5,5
794,2,814,1,2,0,1,0,0,1,0,1,0
4833,3,2028,5,4,0,5,5,5,5,5,5,5
6060,2,850,5,2,0,5,5,5,5,5,5,5
7389,1,495,6,1,0,0,0,0,0,0,0,0
6676,3,802,6,2,0,1,1,0,1,0,0,0
4746,3,1265,5,2,1,5,5,5,5,5,5,5
4149,2,1555,4,2,0,0,0,0,1,0,0,0
6483,4,671,6,1,0,1,0,0,1,0,0,0
6864,3,450,6,1,1,0,0,1,0,0,1,0
2537,4,2500,3,4,1,0,0,0,1,0,0,0
1269,3,1302,2,3,0,1,0,0,1,0,0,1
4444,1,1335,5,3,0,5,5,5,5,5,5,5
7302,4,1250,6,3,1,0,0,0,0,0,1,0
1215,1,549,2,1,0,1,0,1,1,0,0,1
233,3,2010,1,3,0,1,1,1,0,1,0,1
4221,2,1380,4,3,0,0,0,0,0,0,0,0
348,2,1143,1,2,0,0,0,1,1,0,0,0
3419,4,3100,4,3,0,1,0,0,1,0,1,0
6420,3,1165,6,2,1,0,0,1,0,0,1,0
2114,4,2000,3,3,1,0,0,0,1,0,0,0
1928,2,920,3,3,0,0,0,0,1,0,0,0
3954,3,1630,4,3,0,1,0,0,1,0,0,0
3728,2,1555,4,3,0,1,0,0,1,0,0,0
5267,2,1160,5,3,0,5,5,5,5,5,5,5
7433,2,650,6,1,1,0,1,0,0,0,0,0
4130,3,1090,4,2,0,0,0,0,1,0,0,0
3810,3,1418,4,3,0,0,0,0,1,0,0,0
6001,4,900,5,2,0,5,5,5,5,5,5,5
